,carat,cut,color,clarity,depth,table,length,width,height,price
46881,0.56,Ideal,H,VVS2,60.9,57.0,5.38,5.33,3.26,1814
19245,1.37,Ideal,H,VS1,63.8,56.0,7.01,6.98,4.46,7979
17233,1.13,Ideal,G,VS2,62.7,56.0,6.61,6.65,4.16,6891
18604,1.16,Very Good,G,VS1,62.9,55.0,6.65,6.74,4.21,7589
31219,0.32,Ideal,D,SI1,62.7,54.0,4.4,4.37,2.75,756
1145,0.77,Ideal,D,SI2,60.6,56.0,5.95,5.9,3.59,2922
33061,0.3,Ideal,F,VVS1,61.9,57.0,4.3,4.32,2.67,814
53712,0.71,Ideal,D,SI1,61.5,56.0,5.7,5.75,3.52,2719
4934,0.91,Good,D,SI1,64.0,58.0,6.09,6.06,3.89,3730
21260,1.24,Premium,F,VS2,62.2,58.0,6.89,6.84,4.27,9411
43027,0.42,Ideal,E,VS1,60.9,57.0,4.83,4.86,2.95,1372
37722,0.34,Ideal,G,VVS2,62.1,55.0,4.48,4.44,2.77,995
20005,1.2,Ideal,G,VS1,62.4,57.0,6.78,6.8,4.24,8545
21689,1.24,Ideal,G,VVS2,61.2,56.0,6.92,6.88,4.22,9788
47028,0.54,Ideal,F,VS1,62.5,56.0,5.18,5.22,3.25,1819
3875,0.9,Very Good,E,SI2,63.7,56.0,6.08,6.13,3.89,3482
33502,0.32,Very Good,F,VS2,63.2,58.0,4.35,4.32,2.74,828
43955,0.31,Good,F,SI1,63.1,57.0,4.28,4.31,2.71,516
3846,0.84,Ideal,I,VS2,61.7,55.0,6.07,6.11,3.76,3475
22106,1.66,Very Good,H,SI1,62.8,56.0,7.53,7.57,4.74,10134
14028,1.16,Premium,H,SI1,62.8,57.0,6.73,6.67,4.21,5702
40690,0.38,Very Good,E,VVS2,59.7,63.0,4.71,4.73,2.82,1157
19509,1.21,Premium,F,VS2,61.3,58.0,6.89,6.84,4.21,8139
5298,1.0,Good,F,SI2,63.4,60.0,6.28,6.33,4.0,3801
51338,0.52,Ideal,D,VVS2,62.3,56.0,5.12,5.15,3.2,2362
8603,1.07,Ideal,H,SI2,61.8,56.0,6.58,6.63,4.08,4442
4314,0.73,Ideal,G,VS2,61.6,56.0,5.8,5.83,3.58,3595
35571,0.35,Premium,F,VS2,61.5,59.0,4.55,4.53,2.79,906
11678,1.26,Premium,E,SI2,60.3,60.0,7.0,6.94,4.2,5058
1636,0.9,Ideal,H,SI2,62.8,55.0,6.18,6.11,3.86,3016
48210,0.56,Ideal,G,VVS2,62.0,54.0,5.28,5.32,3.29,1949
21824,1.53,Very Good,H,VS1,59.5,63.0,7.44,7.51,4.45,9896
41745,0.52,Good,F,SI1,63.8,56.0,5.07,5.12,3.25,1244
42295,0.32,Very Good,H,VS2,63.0,57.0,4.33,4.37,2.74,505
6215,0.8,Very Good,G,VVS2,62.5,56.0,5.95,5.98,3.73,4002
44674,0.55,Ideal,E,SI1,62.5,56.0,5.21,5.25,3.27,1609
1593,0.8,Ideal,I,VS1,60.7,59.0,5.98,6.02,3.64,3010
48370,0.51,Ideal,G,VVS1,61.4,56.0,5.14,5.15,3.16,1963
35678,0.41,Very Good,E,VS2,63.3,56.0,4.71,4.74,2.99,910
18651,1.32,Ideal,I,VS1,61.2,57.0,7.12,7.06,4.34,7617
52952,0.24,Very Good,D,VVS2,62.4,58.0,3.94,4.01,2.48,552
37131,0.36,Ideal,D,VVS2,60.7,56.0,4.59,4.63,2.8,971
10082,0.95,Very Good,E,SI1,62.8,59.0,6.21,6.25,3.91,4711
38054,0.4,Ideal,F,VVS2,62.2,55.0,4.75,4.77,2.96,1012
3202,0.77,Ideal,D,SI1,62.5,56.0,5.86,5.91,3.68,3345
33399,0.4,Ideal,I,VS1,62.0,54.0,4.72,4.75,2.94,828
42335,0.55,Ideal,I,VS1,62.5,57.0,5.19,5.25,3.26,1297
28756,0.31,Very Good,E,VS2,61.0,59.0,4.33,4.39,2.66,680
10832,0.9,Ideal,G,SI1,61.9,57.0,6.16,6.19,3.82,4871
26286,1.51,Ideal,D,VS2,60.9,57.0,7.42,7.45,4.53,15776
25087,1.72,Premium,H,VS2,61.3,59.0,7.72,7.69,4.72,13609
45087,0.52,Premium,E,VS2,60.9,58.0,5.2,5.18,3.16,1646
49261,0.71,Very Good,F,SI1,63.0,56.0,5.65,5.72,3.58,2088
6283,1.01,Ideal,F,SI2,62.7,57.0,6.43,6.37,4.01,4017
11197,1.02,Premium,H,VS2,60.0,58.0,6.56,6.5,3.92,4958
29543,0.43,Premium,E,SI2,61.0,60.0,4.87,4.94,2.99,704
5667,1.09,Ideal,F,SI2,61.6,54.0,6.69,6.62,4.1,3882
32580,0.32,Good,E,VVS1,59.4,61.0,4.45,4.48,2.65,801
12701,0.26,Ideal,F,VVS2,62.5,56.0,4.1,4.12,2.57,599
11971,1.01,Ideal,F,SI1,62.3,55.0,6.37,6.44,3.99,5140
17119,1.32,Good,E,SI1,63.7,56.0,6.96,6.88,4.41,6830
35551,0.35,Premium,H,VVS2,61.9,58.0,4.54,4.5,2.8,906
16769,0.9,Ideal,G,VVS1,61.5,56.0,6.22,6.24,3.83,6680
15219,1.12,Ideal,H,VS2,61.8,55.0,6.64,6.7,4.12,6110
354,0.74,Premium,F,VS2,61.9,56.0,5.8,5.77,3.58,2805
13179,1.11,Very Good,H,VS2,62.4,58.0,6.57,6.69,4.14,5450
49180,0.64,Ideal,F,VS2,62.5,56.0,5.55,5.53,3.46,2074
38307,0.37,Good,G,SI2,63.3,55.0,4.58,4.61,2.91,487
18798,1.54,Very Good,J,VS2,62.7,60.0,7.34,7.37,4.61,7695
48402,0.7,Very Good,J,VVS2,63.2,55.0,5.63,5.57,3.54,1968
21954,1.51,Premium,G,SI1,59.7,58.0,7.5,7.45,4.46,10020
20127,1.2,Ideal,F,VS2,62.3,56.0,6.82,6.79,4.24,8590
6286,1.05,Premium,G,SI2,62.7,54.0,6.51,6.48,4.07,4018
46920,0.52,Very Good,G,VS1,63.3,55.0,5.12,5.09,3.23,1815
13157,1.01,Ideal,D,SI1,61.2,57.0,6.44,6.47,3.95,5443
1278,0.71,Premium,D,VS2,62.1,60.0,5.72,5.68,3.54,2950
2348,1.03,Ideal,H,SI2,62.4,57.0,6.43,6.36,4.0,3172
1263,0.9,Premium,I,SI1,60.9,56.0,6.26,6.21,3.8,2947
13334,1.12,Very Good,G,SI2,61.2,58.0,6.65,6.69,4.08,5504
46473,0.51,Ideal,H,VVS1,61.8,55.0,5.15,5.18,3.19,1776
10524,1.01,Premium,G,SI1,60.0,58.0,6.55,6.51,3.92,4805
43580,0.41,Ideal,E,VVS1,61.3,57.0,4.79,4.77,2.93,1431
31115,0.33,Ideal,G,VVS2,62.0,53.5,4.44,4.48,2.76,754
12704,0.26,Ideal,E,VVS1,61.7,57.0,4.07,4.1,2.52,599
24259,1.5,Very Good,E,VS2,59.4,62.0,7.4,7.48,4.42,12474
32074,0.32,Ideal,F,VS2,61.4,55.0,4.43,4.46,2.73,781
6983,1.01,Premium,G,SI2,60.1,59.0,6.45,6.39,3.86,4154
1452,0.76,Premium,D,VS2,60.9,58.0,5.9,5.85,3.58,2977
38914,0.33,Ideal,G,IF,61.6,53.0,4.47,4.43,2.74,1052
14004,1.2,Premium,I,VS2,61.8,55.0,6.93,6.8,4.24,5699
37837,0.33,Ideal,D,VS2,62.1,55.0,4.46,4.43,2.76,1002
53767,0.7,Ideal,F,VS1,62.0,55.0,5.71,5.74,3.55,2726
50416,0.71,Ideal,H,SI2,59.4,57.0,5.87,5.81,3.47,2258
53877,0.77,Premium,F,SI1,60.0,61.0,5.97,5.93,3.57,2745
34853,0.3,Ideal,G,VVS2,61.5,57.0,4.33,4.29,2.65,878
20891,1.04,Ideal,F,VVS2,62.2,56.0,6.46,6.53,4.04,9115
28905,0.3,Ideal,G,VVS2,60.9,57.0,4.32,4.35,2.64,684
20490,1.21,Ideal,G,VS1,61.4,56.0,6.84,6.9,4.22,8824
27504,1.73,Very Good,G,VVS2,62.6,55.0,7.66,7.76,4.83,18211
1926,0.8,Premium,D,SI2,61.1,58.0,5.94,5.9,3.62,3082
1895,0.73,Ideal,E,VS2,62.7,56.0,5.75,5.8,3.62,3077
8449,1.01,Premium,H,SI2,60.3,60.0,6.49,6.45,3.9,4412
8121,1.18,Very Good,J,SI2,62.2,58.0,6.74,6.79,4.21,4353
14606,1.21,Premium,J,VVS1,61.3,59.0,6.81,6.86,4.19,5893
41693,0.63,Good,F,SI2,64.2,56.0,5.4,5.34,3.45,1240
30255,0.31,Very Good,E,VVS1,60.4,61.0,4.34,4.4,2.64,725
13165,1.24,Very Good,I,VS1,61.4,63.0,6.89,6.88,4.23,5444
45310,0.3,Premium,F,VS2,61.8,60.0,4.27,4.3,2.65,524
10180,1.22,Premium,I,SI2,61.5,61.0,6.89,6.83,4.22,4735
15273,1.5,Premium,H,SI2,61.5,58.0,7.38,7.32,4.52,6132
13224,1.01,Very Good,E,SI1,60.0,60.0,6.43,6.51,3.88,5461
28774,0.43,Very Good,F,SI2,61.6,59.0,4.8,4.84,2.97,681
5975,0.72,Premium,E,IF,61.3,60.0,5.74,5.71,3.51,3951
30322,0.36,Premium,G,VS1,59.7,59.0,4.61,4.64,2.76,726
33133,0.31,Ideal,G,VVS1,61.9,55.0,4.3,4.36,2.68,816
21533,1.22,Ideal,F,VS1,62.2,57.0,6.85,6.81,4.25,9633
28654,0.32,Very Good,G,VVS1,60.9,57.0,4.41,4.44,2.69,676
45716,0.56,Ideal,E,SI1,61.7,56.0,5.33,5.3,3.28,1698
14761,1.0,Premium,G,VS2,61.6,58.0,6.39,6.43,3.95,5940
19540,1.42,Ideal,I,VS2,60.4,55.0,7.28,7.38,4.43,8173
46902,0.56,Ideal,D,SI1,62.3,56.0,5.33,5.26,3.3,1814
35349,0.42,Premium,H,SI1,62.0,59.0,4.79,4.76,2.96,898
678,0.74,Very Good,E,VS1,63.1,58.0,5.75,5.73,3.62,2849
39825,0.39,Premium,G,VS1,62.6,58.0,4.7,4.66,2.93,1097
31708,0.38,Premium,J,VS1,62.1,60.0,4.64,4.6,2.87,770
52806,0.71,Premium,I,VVS1,62.0,58.0,5.7,5.65,3.52,2572
40695,0.4,Ideal,E,VVS2,61.5,56.0,4.74,4.79,2.93,1158
35029,0.4,Good,E,SI1,63.9,58.0,4.67,4.63,2.97,882
3409,0.3,Ideal,F,VS2,62.1,57.0,4.27,4.3,2.66,568
35639,0.3,Ideal,H,SI1,62.5,53.9,4.29,4.32,2.69,475
22012,1.19,Ideal,D,VS1,61.1,57.0,6.84,6.87,4.19,10079
10920,1.09,Ideal,F,SI2,61.2,57.0,6.6,6.64,4.05,4891
20972,1.51,Very Good,I,VS2,61.6,57.0,7.28,7.34,4.5,9185
44775,0.61,Very Good,D,SI1,62.4,59.0,5.42,5.45,3.39,1622
7475,1.1,Very Good,I,SI1,60.4,61.0,6.69,6.73,4.05,4235
32351,0.3,Ideal,E,VVS2,61.9,57.0,4.28,4.31,2.66,789
31884,0.3,Premium,G,VS1,61.8,59.0,4.37,4.34,2.69,776
3464,0.84,Very Good,I,VVS2,61.7,56.0,6.03,6.07,3.74,3392
16381,1.32,Premium,F,SI2,60.6,60.0,7.05,7.1,4.29,6541
16137,1.23,Ideal,I,SI1,62.1,57.0,6.83,6.88,4.26,6449
30837,0.33,Premium,H,VS1,59.5,59.0,4.53,4.48,2.68,743
41415,0.4,Ideal,D,VS2,61.6,55.0,4.75,4.79,2.94,1226
4223,0.9,Good,E,SI1,63.5,55.0,6.12,6.22,3.92,3570
30179,0.39,Premium,H,SI2,62.4,59.0,4.65,4.58,2.88,721
34158,0.33,Ideal,G,VS1,62.1,55.0,4.46,4.43,2.76,854
35514,0.35,Ideal,E,VVS1,61.9,56.0,4.53,4.55,2.81,905
38872,0.4,Premium,F,VS1,61.9,59.0,4.7,4.67,2.9,1050
18589,1.22,Ideal,H,VS2,62.8,56.0,6.81,6.75,4.26,7584
32275,0.3,Premium,G,VVS1,60.7,58.0,4.34,4.36,2.64,789
40337,0.54,Very Good,J,VS2,63.0,57.0,5.17,5.21,3.27,1129
324,1.0,Premium,J,SI2,62.3,58.0,6.45,6.34,3.98,2801
35976,0.42,Very Good,G,VS1,62.4,59.0,4.78,4.8,2.99,921
39959,0.33,Premium,D,SI2,61.6,59.0,4.41,4.42,2.72,492
12658,1.02,Premium,F,SI1,62.3,58.0,6.38,6.46,4.0,5301
4743,1.01,Very Good,G,SI2,62.0,58.0,6.41,6.46,3.99,3682
43455,0.5,Premium,E,SI1,63.0,59.0,5.01,4.99,3.15,1415
7334,0.9,Good,G,VS2,60.8,56.0,6.14,6.19,3.75,4210
32227,0.31,Ideal,G,VVS1,61.9,54.0,4.35,4.37,2.7,789
27961,0.3,Ideal,E,VS2,62.1,56.0,4.25,4.31,2.66,658
20487,1.5,Premium,I,VS2,62.9,58.0,7.17,7.08,4.48,8820
12283,1.36,Very Good,J,SI2,62.6,58.0,7.0,7.12,4.42,5215
19949,1.55,Ideal,J,VS2,61.4,55.0,7.41,7.49,4.58,8498
52714,0.59,Very Good,F,IF,62.8,56.0,5.31,5.36,3.35,2554
47499,0.47,Ideal,H,IF,62.4,57.0,4.97,5.0,3.11,1865
10898,1.02,Premium,H,SI1,60.5,60.0,6.58,6.51,3.96,4884
32776,0.34,Premium,D,SI1,62.4,58.0,4.46,4.42,2.77,803
31522,0.34,Ideal,E,SI1,62.1,55.0,4.51,4.47,2.79,765
44140,0.51,Ideal,F,VS2,61.3,56.0,5.14,5.11,3.14,1562
29712,0.31,Good,H,VVS1,63.3,56.0,4.3,4.32,2.73,707
50860,0.54,Premium,E,VVS2,61.0,59.0,5.28,5.27,3.22,2313
35391,0.41,Premium,G,VS1,60.5,58.0,4.76,4.8,2.89,899
1337,0.73,Premium,F,VS1,61.9,56.0,5.81,5.76,3.58,2961
51866,0.73,Ideal,I,VS2,61.9,56.0,5.77,5.82,3.59,2426
9790,1.01,Premium,E,SI2,61.5,58.0,6.4,6.43,3.95,4666
42133,0.5,Premium,D,SI1,61.3,60.0,5.15,5.1,3.14,1279
33553,0.3,Ideal,G,IF,62.0,54.4,4.3,4.32,2.67,830
45994,0.5,Ideal,E,VS1,62.3,55.0,5.12,5.09,3.18,1724
42716,0.54,Ideal,E,SI2,60.4,57.0,5.33,5.27,3.2,1340
48454,0.55,Very Good,F,VS1,61.2,56.4,5.28,5.33,3.25,1975
40131,0.41,Ideal,E,VS1,60.4,55.0,4.85,4.89,2.94,1115
36118,0.48,Ideal,H,SI1,61.2,56.0,5.06,5.1,3.11,927
43897,0.27,Premium,G,VS2,62.4,59.0,4.13,4.11,2.57,509
14578,1.21,Very Good,E,SI1,61.0,60.0,6.83,6.88,4.18,5885
9384,0.32,Ideal,D,SI1,61.5,56.0,4.39,4.42,2.71,589
53118,0.81,Good,I,VS2,63.8,58.0,5.84,5.89,3.74,2617
21175,1.13,Ideal,G,VVS2,62.3,57.0,6.62,6.66,4.14,9333
10662,0.9,Ideal,H,VVS2,62.0,57.0,6.2,6.15,3.83,4838
49468,0.47,Ideal,E,VVS2,61.6,56.0,4.97,5.01,3.07,2113
31635,0.3,Very Good,I,SI2,63.3,56.0,4.3,4.26,2.71,450
24910,2.0,Ideal,F,SI2,61.6,57.0,8.16,8.1,5.01,13351
24620,1.51,Premium,G,VS1,62.4,60.0,7.34,7.3,4.57,12948
20231,1.5,Very Good,I,VS2,63.0,57.0,7.2,7.25,4.55,8662
6832,1.01,Very Good,F,SI2,62.7,56.0,6.35,6.4,4.0,4121
31698,0.36,Ideal,F,SI1,61.5,56.0,4.62,4.59,2.83,770
31741,0.41,Premium,G,VS2,60.7,59.0,4.8,4.85,2.93,772
48301,0.31,Ideal,D,SI1,61.2,57.0,4.34,4.38,2.67,533
25816,1.61,Premium,F,VS2,61.6,61.0,7.54,7.47,4.62,14833
5731,1.09,Very Good,D,SI2,61.9,61.0,6.54,6.58,4.06,3890
49324,0.51,Ideal,F,VVS2,62.4,57.0,5.08,5.12,3.18,2093
14857,1.28,Very Good,H,SI2,60.2,58.0,7.03,7.13,4.26,5984
31695,0.36,Ideal,F,SI1,60.1,56.0,4.67,4.62,2.79,770
7061,0.33,Premium,I,VVS2,61.0,59.0,4.41,4.44,2.7,579
40738,0.54,Ideal,E,SI2,62.1,56.0,5.18,5.22,3.23,1163
28077,0.4,Ideal,J,VVS2,61.8,55.0,4.76,4.79,2.95,662
35621,0.3,Premium,I,VS1,61.6,60.0,4.27,4.3,2.64,473
18199,1.46,Very Good,I,SI1,62.8,57.0,7.13,7.21,4.5,7387
32193,0.35,Premium,H,VS1,61.7,59.0,4.53,4.51,2.79,788
49896,0.59,Premium,E,VS2,60.8,57.0,5.42,5.37,3.28,2177
2559,0.8,Ideal,D,SI2,61.9,54.0,5.95,6.0,3.7,3210
10889,1.0,Good,G,SI1,64.4,54.0,6.29,6.32,4.06,4882
8355,1.02,Ideal,F,SI2,62.4,57.0,6.43,6.4,4.0,4398
46162,0.5,Premium,E,VS2,61.4,59.0,5.13,5.09,3.14,1746
50535,0.5,Very Good,E,VVS2,62.4,55.0,5.08,5.11,3.18,2275
45517,0.43,Ideal,G,IF,61.3,55.0,4.86,4.89,2.99,1683
42403,0.53,Ideal,G,SI1,62.7,55.0,5.15,5.19,3.24,1308
43936,0.3,Premium,D,SI1,62.1,59.0,4.29,4.31,2.67,515
40791,0.31,Ideal,F,IF,61.2,57.0,4.35,4.38,2.67,1168
53726,0.72,Premium,D,VS2,61.0,59.0,5.77,5.74,3.51,2721
50504,0.71,Good,I,VS2,64.3,63.0,5.63,5.56,3.6,2270
22357,0.31,Ideal,H,VS2,62.2,55.0,4.37,4.35,2.71,628
49796,0.7,Ideal,F,SI2,60.1,57.0,5.78,5.81,3.48,2163
38759,0.53,Ideal,I,VS2,62.1,54.0,5.2,5.24,3.24,1046
36444,0.31,Ideal,D,VS2,62.1,54.0,4.36,4.34,2.7,942
5123,0.91,Very Good,E,SI2,62.9,56.0,6.14,6.17,3.87,3763
7247,1.0,Ideal,F,SI2,61.8,57.0,6.36,6.45,3.96,4197
49695,0.51,Ideal,G,IF,62.9,58.0,5.07,5.11,3.2,2146
42264,0.44,Ideal,G,VVS1,61.8,55.0,4.91,4.86,3.02,1294
12642,1.01,Premium,H,VS1,61.2,61.0,6.44,6.41,3.93,5294
36412,0.31,Premium,E,VS1,61.0,58.0,4.39,4.37,2.67,942
24931,1.5,Very Good,G,VS1,62.4,57.0,7.24,7.31,4.54,13379
52918,0.71,Very Good,E,SI1,59.3,59.0,5.83,5.87,3.47,2590
53642,0.7,Ideal,E,SI1,62.4,55.0,5.66,5.69,3.54,2703
14266,1.34,Ideal,I,SI2,61.3,55.0,7.16,7.12,4.38,5778
24805,1.71,Ideal,H,VS2,62.4,58.0,7.64,7.68,4.78,13190
5424,0.92,Very Good,D,SI2,63.3,59.0,6.18,6.12,3.89,3823
25431,1.57,Premium,G,VS1,59.9,56.0,7.6,7.55,4.54,14180
29218,0.34,Ideal,I,IF,61.6,54.0,4.5,4.53,2.78,695
16429,1.05,Ideal,G,VS2,61.9,57.0,6.47,6.51,4.03,6562
9414,1.01,Good,G,SI1,63.6,57.0,6.33,6.37,4.04,4588
40546,0.42,Ideal,G,VVS1,61.9,56.0,4.8,4.85,2.98,1150
13223,1.5,Premium,G,SI2,61.7,55.0,7.39,7.32,4.54,5460
7338,0.91,Very Good,E,SI1,61.9,61.0,6.1,6.12,3.78,4211
20759,1.07,Ideal,E,VS1,60.0,58.0,6.66,6.7,4.01,8998
16132,1.01,Very Good,G,VS2,63.6,56.0,6.34,6.39,4.05,6449
21224,1.27,Premium,G,VS1,61.1,60.0,6.99,7.03,4.28,9371
13282,1.08,Premium,F,SI1,61.0,59.0,6.67,6.57,4.04,5487
47047,0.6,Ideal,H,VS1,61.6,56.0,5.4,5.42,3.33,1820
37344,0.31,Ideal,D,VVS2,62.0,56.0,4.37,4.34,2.7,982
35043,0.4,Good,F,VS1,63.0,62.0,4.65,4.68,2.94,883
5804,0.71,Ideal,G,VVS2,61.5,57.0,5.74,5.78,3.54,3909
31640,0.25,Very Good,H,VVS1,60.1,62.0,4.08,4.11,2.46,450
9358,1.16,Very Good,I,SI1,62.9,58.0,6.64,6.69,4.19,4586
22008,1.52,Premium,H,SI1,62.5,58.0,7.33,7.29,4.57,10078
19704,0.37,Premium,F,SI2,60.7,57.0,4.67,4.62,2.82,624
5926,0.92,Premium,E,SI2,61.7,59.0,6.27,6.18,3.84,3941
2249,1.03,Fair,J,SI2,64.6,62.0,6.3,6.21,4.06,3149
39922,0.41,Premium,D,VVS2,62.2,58.0,4.78,4.8,2.98,1105
43652,0.53,Ideal,H,VS2,61.7,56.0,5.17,5.21,3.2,1435
35962,0.28,Ideal,H,VS1,62.1,55.0,4.17,4.21,2.6,476
10886,1.16,Ideal,G,SI2,61.9,56.0,6.73,6.77,4.18,4880
37394,0.3,Ideal,E,VVS1,61.1,56.0,4.38,4.36,2.67,982
30802,0.31,Good,F,VVS1,63.6,61.0,4.21,4.25,2.69,742
43243,0.38,Ideal,D,VVS1,61.8,56.0,4.63,4.66,2.87,1400
24321,2.0,Premium,D,SI2,59.3,62.0,8.12,8.06,4.8,12576
27888,0.3,Ideal,G,VVS2,62.2,57.0,4.25,4.3,2.66,655
11881,1.08,Premium,H,VS1,62.5,60.0,6.55,6.51,4.08,5111
38420,0.3,Very Good,E,IF,60.1,60.0,4.3,4.32,2.59,1026
30365,0.36,Very Good,I,VS1,63.3,56.0,4.56,4.51,2.87,729
4303,1.01,Very Good,J,SI2,61.9,59.0,6.34,6.38,3.94,3592
39910,0.5,Ideal,E,SI2,61.8,58.0,5.08,5.11,3.15,1104
7864,1.0,Good,E,SI2,62.1,61.0,6.36,6.4,3.96,4307
7461,0.9,Premium,H,VS1,62.9,58.0,6.12,6.06,3.83,4234
42780,0.41,Premium,D,VVS1,62.2,58.0,4.71,4.77,2.95,1349
17551,1.03,Ideal,G,VS2,61.6,55.0,6.49,6.54,4.01,7064
12101,1.09,Very Good,E,SI2,62.2,58.0,6.54,6.61,4.09,5165
14618,1.26,Premium,G,SI2,59.1,59.0,7.09,7.05,4.18,5899
18534,1.51,Premium,J,VS2,60.2,59.0,7.36,7.35,4.43,7553
22417,1.25,Ideal,D,VS1,61.7,56.0,6.92,7.01,4.3,10441
28327,0.33,Ideal,F,VS2,61.4,57.0,4.45,4.48,2.74,666
15686,1.23,Ideal,D,SI2,62.4,56.0,6.81,6.87,4.27,6289
49974,0.29,Very Good,G,VVS2,60.9,57.0,4.28,4.32,2.61,541
31216,0.32,Ideal,D,SI1,62.6,55.0,4.39,4.36,2.74,756
26368,0.32,Very Good,F,VS2,59.5,61.0,4.42,4.46,2.64,645
32461,0.36,Ideal,G,VVS2,61.7,54.0,4.59,4.62,2.84,794
4173,0.75,Ideal,E,VS1,62.5,57.0,5.8,5.85,3.64,3555
14969,1.0,Good,G,VS1,63.9,55.0,6.34,6.28,4.03,6028
50301,0.27,Very Good,E,VVS1,60.0,58.0,4.21,4.22,2.53,544
43308,0.58,Very Good,H,SI1,62.5,58.0,5.29,5.31,3.31,1402
52508,0.73,Premium,F,SI1,62.1,58.0,5.74,5.72,3.56,2527
4396,0.31,Good,D,SI1,63.7,54.0,4.31,4.35,2.76,571
15770,1.5,Good,J,SI2,63.6,58.0,7.18,7.25,4.59,6306
52006,0.81,Ideal,I,VS2,62.4,54.8,5.98,6.01,3.75,2444
27328,2.0,Ideal,F,SI2,62.0,57.0,8.1,8.03,5.0,17871
2575,0.71,Ideal,E,VS1,61.9,54.0,5.74,5.76,3.56,3212
13814,1.25,Very Good,J,VS1,61.8,58.0,6.89,6.93,4.27,5628
33042,0.32,Ideal,G,VVS1,61.8,55.0,4.4,4.43,2.73,814
17140,1.0,Very Good,F,VS2,63.8,56.9,6.29,6.36,4.04,6841
18680,1.55,Premium,J,SI1,62.5,58.0,7.4,7.36,4.61,7638
13839,1.23,Premium,F,SI1,62.5,58.0,6.83,6.76,4.25,5641
40012,0.7,Premium,I,I1,62.3,58.0,5.69,5.55,3.51,1107
34131,0.32,Ideal,F,VVS1,61.3,55.0,4.42,4.45,2.72,854
36200,0.35,Ideal,H,IF,60.8,56.0,4.61,4.63,2.81,931
49766,0.5,Premium,F,VVS2,63.0,57.0,5.05,5.01,3.17,2160
18482,1.5,Premium,I,SI2,60.8,58.0,7.34,7.24,4.43,7526
450,0.83,Ideal,H,SI1,62.5,55.0,6.04,6.0,3.76,2816
8617,1.24,Premium,H,SI2,62.3,58.0,6.84,6.8,4.25,4444
49424,0.7,Very Good,H,SI1,61.5,57.0,5.64,5.68,3.48,2107
53765,0.7,Very Good,D,SI1,61.8,55.0,5.73,5.76,3.55,2726
49875,0.7,Premium,H,SI1,62.0,61.0,6.65,5.69,3.46,2176
13545,1.02,Ideal,F,SI1,60.1,59.0,6.59,6.56,3.95,5549
37648,0.41,Very Good,H,VVS1,61.7,58.0,4.74,4.79,2.94,991
9712,0.35,Very Good,F,SI1,61.0,55.0,4.6,4.63,2.81,590
7852,0.9,Premium,D,SI1,61.5,58.0,6.21,6.15,3.8,4304
11140,1.0,Good,F,SI1,63.6,58.0,6.31,6.27,4.0,4939
46385,0.59,Very Good,F,VS2,62.0,58.0,5.35,5.42,3.34,1764
48735,0.78,Ideal,I,VS2,62.0,56.0,5.93,5.87,3.66,2012
37114,0.33,Ideal,E,VVS2,60.0,56.0,4.53,4.56,2.72,970
30185,0.41,Ideal,H,SI1,62.4,53.0,4.78,4.81,2.99,722
11336,1.01,Good,F,SI1,63.7,57.0,6.4,6.35,4.06,4989
1549,0.72,Good,F,VS1,63.8,58.0,5.68,5.63,3.61,3002
16673,1.23,Very Good,G,SI1,63.1,56.0,6.81,6.78,4.29,6665
14690,1.05,Premium,G,VS2,62.5,55.0,6.59,6.54,4.1,5927
34612,0.27,Ideal,E,VS1,61.6,55.0,4.16,4.18,2.57,470
46761,0.54,Ideal,G,VVS2,62.6,57.0,5.19,5.23,3.26,1801
36160,0.38,Ideal,G,VVS2,61.5,55.2,4.67,4.71,2.89,929
50552,0.73,Ideal,F,SI2,62.1,56.0,5.77,5.8,3.59,2276
372,0.73,Very Good,D,SI1,63.1,57.0,5.74,5.7,3.61,2808
44486,0.51,Very Good,D,VS2,62.9,56.0,5.07,5.1,3.2,1597
46893,0.56,Premium,H,VVS2,59.8,57.0,5.48,5.39,3.25,1814
14140,1.26,Very Good,H,SI2,62.2,57.0,6.86,6.9,4.28,5736
11933,1.09,Ideal,E,SI2,61.6,55.0,6.64,6.6,4.08,5127
39868,0.42,Ideal,H,VVS2,61.9,55.0,4.83,4.86,3.0,1102
14744,1.19,Ideal,F,SI1,62.1,56.0,6.81,6.84,4.24,5937
6427,0.9,Ideal,G,SI2,61.4,56.0,6.19,6.23,3.81,4044
21998,1.09,Premium,G,IF,61.3,58.0,6.64,6.6,4.06,10065
13568,1.01,Ideal,G,SI1,63.0,57.0,6.37,6.4,4.02,5555
45954,0.56,Ideal,D,SI1,62.3,56.0,5.26,5.33,3.3,1723
38558,0.5,Very Good,I,SI1,62.5,57.0,5.06,5.09,3.17,1035
47916,0.56,Ideal,F,VS1,61.7,56.0,5.3,5.33,3.28,1915
33936,0.3,Ideal,J,VVS1,60.4,57.0,4.36,4.38,2.64,464
4621,1.01,Premium,I,SI2,59.6,62.0,6.56,6.5,3.89,3665
15976,1.02,Very Good,E,SI1,62.7,60.0,6.45,6.4,4.03,6397
24070,1.6,Premium,H,VS1,60.0,59.0,7.61,7.58,4.56,12210
14283,1.24,Very Good,I,VS2,60.1,59.0,6.95,7.02,4.2,5783
28752,0.31,Very Good,E,VS2,62.6,56.0,4.3,4.33,2.7,680
